run_id,run_group,results_dir,metrics_path,config_path,status,metrics_present,sharpe_ratio_abs,total_pnl,max_drawdown_abs,total_trades,total_pairs_traded,best_pair_pnl,worst_pair_pnl,avg_pnl_per_pair
20260114_071935_main_2024_wfa,20260114_071935_main_2024_wfa,artifacts/wfa/runs/20260114_071935_main_2024_wfa,artifacts/wfa/runs/20260114_071935_main_2024_wfa/strategy_metrics.csv,,unknown,True,0.16955909705274833,112.80214646880631,-77.16279852023581,1841.0,290.0,30.736745834350586,-19.20827865600586,0.3838518082685325
20260114_072317_balanced_2024_wfa,20260114_072317_balanced_2024_wfa,artifacts/wfa/runs/20260114_072317_balanced_2024_wfa,artifacts/wfa/runs/20260114_072317_balanced_2024_wfa/strategy_metrics.csv,,unknown,True,0.014032373390915046,1.3000258559695794,-20.3840964665942,265.0,29.0,9.927974,-10.875997,0.04482845
20260114_073405_balanced_2024_wfa_repeat,20260114_073405_balanced_2024_wfa_repeat,artifacts/wfa/runs/20260114_073405_balanced_2024_wfa_repeat,artifacts/wfa/runs/20260114_073405_balanced_2024_wfa_repeat/strategy_metrics.csv,,unknown,True,0.014032373390915046,1.3000258559695794,-20.3840964665942,265.0,29.0,9.927974,-10.875997,0.04482845
20260114_075638_smoke_fast20_wfa,20260114_075638_smoke_fast20_wfa,artifacts/wfa/runs/20260114_075638_smoke_fast20_wfa,artifacts/wfa/runs/20260114_075638_smoke_fast20_wfa/strategy_metrics.csv,,unknown,True,-0.6205174650409233,-52.40047556796344,-66.68829711247236,394.0,108.0,4.546341,-19.778234,-0.3397522
20260114_075758_smoke_fast20_wfa_repeat,20260114_075758_smoke_fast20_wfa_repeat,artifacts/wfa/runs/20260114_075758_smoke_fast20_wfa_repeat,artifacts/wfa/runs/20260114_075758_smoke_fast20_wfa_repeat/strategy_metrics.csv,,unknown,True,-0.6205174650409233,-52.40047556796344,-66.68829711247236,394.0,108.0,4.546341,-19.778234,-0.3397522
20260114_081835_main_2024_wfa_refresh,20260114_081835_main_2024_wfa_refresh,artifacts/wfa/runs/20260114_081835_main_2024_wfa_refresh,artifacts/wfa/runs/20260114_081835_main_2024_wfa_refresh/strategy_metrics.csv,,unknown,True,0.16955909705274833,112.80214646880631,-77.16279852023581,1841.0,290.0,30.736745834350586,-19.20827865600586,0.3838518082685325
20260114_084102_smoke_time_stop_clamp,20260114_084102_smoke_time_stop_clamp,artifacts/wfa/runs/20260114_084102_smoke_time_stop_clamp,artifacts/wfa/runs/20260114_084102_smoke_time_stop_clamp/strategy_metrics.csv,,unknown,True,-0.6205174650409233,-52.40047556796344,-66.68829711247236,394.0,108.0,4.546341,-19.778234,-0.3397522
20260114_093244_main_2024_wfa_step5,20260114_093244_main_2024_wfa_step5,artifacts/wfa/runs/20260114_093244_main_2024_wfa_step5,artifacts/wfa/runs/20260114_093244_main_2024_wfa_step5/strategy_metrics.csv,,unknown,True,0.2617695281917387,311.90528674444795,-126.2297362559475,2694.0,290.0,62.40039,-19.208279,1.057849
20260114_095105_main_2024_wfa_step5_repeat,20260114_095105_main_2024_wfa_step5_repeat,artifacts/wfa/runs/20260114_095105_main_2024_wfa_step5_repeat,artifacts/wfa/runs/20260114_095105_main_2024_wfa_step5_repeat/strategy_metrics.csv,,unknown,True,0.2617695281917387,311.90528674444795,-126.2297362559475,2694.0,290.0,62.40039,-19.208279,1.057849
20260114_110612_main_2024_wfa_fixed_top200_step5,20260114_110612_main_2024_wfa_fixed_top200_step5,artifacts/wfa/runs/20260114_110612_main_2024_wfa_fixed_top200_step5,artifacts/wfa/runs/20260114_110612_main_2024_wfa_fixed_top200_step5/strategy_metrics.csv,,unknown,True,0.18659087966710589,11.212474846135592,-7.45561858129804,75.0,6.0,11.998438,-2.8980799,1.6017818
20260114_110717_main_2024_wfa_fixed_top200_step5_repeat,20260114_110717_main_2024_wfa_fixed_top200_step5_repeat,artifacts/wfa/runs/20260114_110717_main_2024_wfa_fixed_top200_step5_repeat,artifacts/wfa/runs/20260114_110717_main_2024_wfa_fixed_top200_step5_repeat/strategy_metrics.csv,,unknown,True,0.18659087966710589,11.212474846135592,-7.45561858129804,75.0,6.0,11.998438,-2.8980799,1.6017818
20260114_124742_optuna_candidate_wfa,20260114_124742_optuna_candidate_wfa,artifacts/wfa/runs/20260114_124742_optuna_candidate_wfa,artifacts/wfa/runs/20260114_124742_optuna_candidate_wfa/strategy_metrics.csv,,unknown,True,-0.09394187856938403,-228.49321515578777,-379.04489764917525,1816.0,290.0,39.654583,-103.69522,-0.7834864
20260114_125200_optimize_q4_sanity_wfa,20260114_125200_optimize_q4_sanity_wfa,artifacts/wfa/runs/20260114_125200_optimize_q4_sanity_wfa,artifacts/wfa/runs/20260114_125200_optimize_q4_sanity_wfa/strategy_metrics.csv,,unknown,True,-0.09031121804050342,-20.33398424232655,-68.38471617955292,473.0,51.0,8.825303,-12.885809,-0.37710375
20260114_141327_optimize_q4_sanity_wfa_top1000,20260114_141327_optimize_q4_sanity_wfa_top1000,artifacts/wfa/runs/20260114_141327_optimize_q4_sanity_wfa_top1000,artifacts/wfa/runs/20260114_141327_optimize_q4_sanity_wfa_top1000/strategy_metrics.csv,,unknown,True,-0.09999731859889818,-21.102079964748555,-62.64814297349585,418.0,42.0,6.1863194,-12.885809,-0.4694333
20260114_141715_optimize_q4_sanity_wfa_top5000,20260114_141715_optimize_q4_sanity_wfa_top5000,artifacts/wfa/runs/20260114_141715_optimize_q4_sanity_wfa_top5000,artifacts/wfa/runs/20260114_141715_optimize_q4_sanity_wfa_top5000/strategy_metrics.csv,,unknown,True,-0.1701917807917501,-54.82802019263545,-99.1228732019772,809.0,92.0,8.825303,-18.80231,-0.5818672
20260114_142519_optimize_q4_sanity_wfa_top5000_relaxed,20260114_142519_optimize_q4_sanity_wfa_top5000_relaxed,artifacts/wfa/runs/20260114_142519_optimize_q4_sanity_wfa_top5000_relaxed,artifacts/wfa/runs/20260114_142519_optimize_q4_sanity_wfa_top5000_relaxed/strategy_metrics.csv,,unknown,True,-0.17871344326511474,-30.18121854970741,-59.88064721236515,475.0,56.0,6.1863194,-12.885809,-0.5117326
20260114_143215_optimize_q4_sanity_wfa_top5000_relaxed_corr,20260114_143215_optimize_q4_sanity_wfa_top5000_relaxed_corr,artifacts/wfa/runs/20260114_143215_optimize_q4_sanity_wfa_top5000_relaxed_corr,artifacts/wfa/runs/20260114_143215_optimize_q4_sanity_wfa_top5000_relaxed_corr/strategy_metrics.csv,,unknown,True,-0.17871344326511474,-30.18121854970741,-59.88064721236515,475.0,56.0,6.1863194,-12.885809,-0.5117326
20260114_144344_optimize_q4_sanity_wfa_top5000_relaxed3,20260114_144344_optimize_q4_sanity_wfa_top5000_relaxed3,artifacts/wfa/runs/20260114_144344_optimize_q4_sanity_wfa_top5000_relaxed3,artifacts/wfa/runs/20260114_144344_optimize_q4_sanity_wfa_top5000_relaxed3/strategy_metrics.csv,,unknown,True,-0.1514370649251287,-76.60951232425214,-178.04015959855678,1396.0,153.0,19.164343,-18.80231,-0.5681871
20260114_145500_optimize_q4_sanity_wfa_zscore_0p8,20260114_145500_optimize_q4_sanity_wfa_zscore_0p8,artifacts/wfa/runs/20260114_145500_optimize_q4_sanity_wfa_zscore_0p8,artifacts/wfa/runs/20260114_145500_optimize_q4_sanity_wfa_zscore_0p8/strategy_metrics.csv,,unknown,True,0.2568960879920881,158.5431700727495,-82.18736071902094,3687.0,153.0,31.243996,-12.68115,0.8954672
20260114_150400_optimize_q4_sanity_wfa_zscore_1p2,20260114_150400_optimize_q4_sanity_wfa_zscore_1p2,artifacts/wfa/runs/20260114_150400_optimize_q4_sanity_wfa_zscore_1p2,artifacts/wfa/runs/20260114_150400_optimize_q4_sanity_wfa_zscore_1p2/strategy_metrics.csv,,unknown,True,-0.061833002966215744,-25.236018648080062,-120.51822602303582,670.0,153.0,20.027765,-17.006577,-0.26172337
20260114_153500_optimize_q4_sanity_wfa_zscore_0p7,20260114_153500_optimize_q4_sanity_wfa_zscore_0p7,artifacts/wfa/runs/20260114_153500_optimize_q4_sanity_wfa_zscore_0p7,artifacts/wfa/runs/20260114_153500_optimize_q4_sanity_wfa_zscore_0p7/strategy_metrics.csv,,unknown,True,0.20403510097383534,156.8533524578961,-113.28467334242305,6566.0,153.0,27.200432,-20.824432,0.84604716
20260114_154200_optimize_q4_sanity_wfa_zscore_0p9,20260114_154200_optimize_q4_sanity_wfa_zscore_0p9,artifacts/wfa/runs/20260114_154200_optimize_q4_sanity_wfa_zscore_0p9,artifacts/wfa/runs/20260114_154200_optimize_q4_sanity_wfa_zscore_0p9/strategy_metrics.csv,,unknown,True,-0.04210868299288487,-24.66930300011518,-114.92112283792449,2212.0,153.0,19.713299,-17.714556,-0.22920252
20260114_154800_optimize_q4_sanity_wfa_zscore_0p8_cd1,20260114_154800_optimize_q4_sanity_wfa_zscore_0p8_cd1,artifacts/wfa/runs/20260114_154800_optimize_q4_sanity_wfa_zscore_0p8_cd1,artifacts/wfa/runs/20260114_154800_optimize_q4_sanity_wfa_zscore_0p8_cd1/strategy_metrics.csv,,unknown,True,0.2568960879920881,158.5431700727495,-82.18736071902094,3687.0,153.0,31.243996,-12.68115,0.8954672
20260114_155700_optimize_q4_sanity_wfa_zscore_0p8_rw72,20260114_155700_optimize_q4_sanity_wfa_zscore_0p8_rw72,artifacts/wfa/runs/20260114_155700_optimize_q4_sanity_wfa_zscore_0p8_rw72,artifacts/wfa/runs/20260114_155700_optimize_q4_sanity_wfa_zscore_0p8_rw72/strategy_metrics.csv,,unknown,True,0.13460279643659454,96.04356647754321,-108.61219430694473,3816.0,144.0,38.741177,-14.310302,0.5549023
